id,latitude,longitude,country,country_code
332428,51.9240493102,4.4701051712,Nederland,nl
12535,40.7638606505,-73.9729321003,United States,us
167337,34.0897091333,-118.2683092667,United States,us
1049172,47.6679503918,-122.31328547,United States,us
898204,30.2744810333,-97.7390675167,United States,us
1138615,59.33218133,18.06642997,Sverige,se
532102,18.3814778781,-65.9628152847,United States,us
549660,37.7636982117,-122.4739599632,United States,us
30181,38.98098364,-77.0975598398,United States,us
374346,51.5081432,-0.1241836,United Kingdom,gb
202546,37.57960815,-122.3461044667,United States,us
76219,36.1539026102,-86.8022382259,United States,us
1591728,41.8893674797,-87.6289325953,United States,us
398986,43.8469591167,-70.1124026333,United States,us
53199,33.68456805,-117.17478975,United States,us
327184,52.47947812,13.31366103,Deutschland,de
449517,51.9251211756,4.5126986504,Nederland,nl
1080586,53.5989871361,-113.5730985757,Canada,ca
325926,35.9257481333,-84.0372761,United States,us
1604249,42.625308767,-82.942396717,United States,us
336333,30.2482214667,-81.5353604,United States,us
1448190,55.82283755,14.07968545,Sverige,se
51463,37.7675847167,-122.4241242333,United States,us
33347,51.5222723,-0.1259596333,United Kingdom,gb
279175,41.9010687833,12.47725925,Italia,it
57706,40.7128173093,-74.0059769154,United States,us
814382,57.6869731927,11.9652981222,Sverige,se
420315,30.2691029532,-97.7493953705,United States,us
1385576,52.00969034,5.43184322,Nederland,nl
1197556,44.426232567,-69.005320067,United States,us
9724,33.8120650319,-117.9190063477,United States,us
83377,37.77234735,-122.42306915,United States,us
1124890,50.0682687565,8.6333441734,Deutschland,de
626330,50.06163996,19.92920476,Polska,pl
653921,38.4669678167,-77.4113821833,United States,us
864730,40.7300800153,-73.9916110039,United States,us
626791,42.7295127225,-73.6784198284,United States,us
529160,34.0387960304,-84.5864141598,United States,us
59812,30.4877002,-97.7703682,United States,us
235912,54.5929347833,-5.6978184167,United Kingdom,gb
144944,40.7407947889,-74.0077364445,United States,us
492084,35.0808475695,-92.4582874775,United States,us
820182,35.7354555333,-78.8028314333,United States,us
729605,33.6221508667,-97.1542085167,United States,us
420746,40.138232705,-105.1298923431,United States,us
56842,49.4793901044,8.4694290161,Deutschland,de
1238714,40.420058218,-3.698181153,España,es
1187501,30.1127236932,-97.3422896862,United States,us
542465,30.1590500865,-97.7932710875,United States,us
1213243,51.066933667,-1.796261167,United Kingdom,gb
138229,37.7880813841,-122.4069643021,United States,us
67281,37.7669661283,-122.4065351486,United States,us
